Division,Date,Name,Place,Type,Size
Metro ,4/12/2011,Minnetrista Wetland,Minnetrista,Grass,12
Metro ,4/18/2011,Minnetrista Wetland,Minnetrista,Grass,8
D6,4/25/2011,Big Dog Slough,Blooming Prairie,Grass,24
Metro ,5/2/2011,Minnetrista Wetland,Minnetrista,Grass,48
D3,5/16/2011,I-94 West Union,West Union,Grass,10
Metro ,5/16/2011,Kes-Wermerskirchen Wetland,Jordan,Grass,18
Metro ,5/18/2011,Wetland-B ,Bayport TWP,Grass,22
D7*,6/29/2011,I-90 Jackson,Jackson,Grass,45
D7*,6/30/2011,I-90 Adrian,Adrian,Grass,30
D7*,8/17/2011,I-90 Jackson,Jackson,Grass,45
D7*,8/19/2011,I-90 Adrian,Adrian,Grass,30
D6,10/4/2011,I-90 Eyota,Eyota,Grass,5
D6,10/24/2011,TH 218,Blooming Prairie,Grass,4
Metro ,10/26/2011,Cheri Ponds ,Waconia,Grass,20
D6,10/27/2011,Wilden Pond,Claremont,Grass,67
Metro ,10/28/2011,Riley Creek Wetland,Chanhassen,Grass,4
D6,11/7/2011,TH 218,Blooming Prairie,Grass,12
Metro ,11/7/2011,Riesgraf Wetland,Jordan,Grass,15
